track_pt,track_eta,track_phi,det_raw_id
993.131,0.851652,0.392922,575307776 579502080 583696384 637567165 637569181 637601981 637632733 
443.911,-1.71385,-1.13166,604050160 604050168 604050672 604050680 604054136 604054144 604058232 604062960 604062968 637600484 637620836 637633220 637653572 687886144 687889696 687889952 687906080 687906336 
477.842,1.71398,2.00987,604017248 604017256 604017760 604017768 604021296 604021304 604025400 604030048 604030056 637600102 637620454 637632838 637653190 687885090 687885346 687901474 687901730 
79.6431,-1.06902,0.924302,575438848 579633152 604054576 604054584 637567245 637599880 637599912 637620264 637632648 637632781 637632813 637634829 637653000 
82.1334,1.06924,-2.21742,577142784 604018880 604021952 637620650 637633565 637633597 637635613 637653386 
716.138,-0.544732,-2.89382,576520192 580976640 584908800 589070336 637567761 637569809 637571949 637600689 637635345 637637457 
729.679,0.544635,0.247785,575012864 579469312 583401472 587890688 637567001 637567229 637599929 637634585 637636697 
958.672,-1.69644,-2.92434,604050080 604050592 604054096 604058784 604062880 637604324 637637060 637641092 687887136 687903520 
979.145,1.69627,0.217122,604017168 604017680 604021256 604029968 637603942 637636678 687882530 687898914 
985.767,-0.151587,-2.01988,577077248 581271552 585465856 589660160 637633557 637633589 637633653 637635605 637635637 637637717 
1021.89,0.151884,1.12172,575504384 579698688 583892992 588087296 637632789 637632821 637634837 637634869 637636949 637636981 
269.532,-2.33406,-0.630541,604050184 604050192 604050696 604050704 604054152 604058248 604062344 
353.762,2.33399,2.51125,604017272 604017280 604017784 604017792 604021312 604025408 604029504 
931.102,-1.46892,2.72464,604051072 604051080 604054664 604058760 604062856 637583684 637612324 637616420 637645060 637645160 637649156 637649256 
723.087,1.46861,-0.416839,604018456 604022040 604026136 604030232 637584070 637612710 637616806 637649542 637649574 637649642 
786.34,-0.465092,-1.71311,577306624 581500928 585695232 589889536 637568145 637570193 637570225 637600945 637633745 637633777 637635761 
873.034,0.465124,1.42861,575799296 579993600 584187904 588382208 637567385 637567417 637567449 637569433 637569465 637632985 637637113 
327.369,-0.0713593,-2.74997,576815104 581009408 585203712 589135872 589398016 637633429 637633461 637633493 637633525 637635477 637635509 
355.812,0.0712677,0.391749,575242240 579436544 583630848 587825152 637599925 637632661 637632725 637632757 637634709 637634741 
128.716,-1.12047,0.047245,574914560 604054536 604058632 637599784 637632520 637632525 637634573 
124.991,1.12033,-3.09414,576618496 604018840 604021912 604026008 637600170 637632906 637633309 637635357 
679.904,-1.66622,-2.15638,604050112 604050120 604050624 604050632 604051144 604054120 604058824 604062920 637600324 637600356 637633028 637633092 637653380 687888160 687888416 687904544 687904800 
557.949,1.66608,0.98512,604017200 604017208 604017712 604017720 604018232 604021272 604021280 604025912 604030008 637599942 637599974 637620294 637632646 637632710 687883554 687883810 687899938 687900194 
265.174,-0.34179,-2.63297,576782336 580976640 585170944 589365248 637567921 637567953 637567985 637569937 637569969 
278.177,0.341618,0.5086,575275008 579469312 583663616 587857920 637567129 637567161 637567193 637569177 637569209 637571321 
756.488,-2.35202,-1.15533,604050160 604050168 604050672 604050680 604054136 604054144 604058232 604058240 604062328 604062336 687886144 
369.029,2.35158,1.98633,604017248 604017256 604017760 604017768 604021296 604021304 604025392 604025400 604029488 604029496 
353.414,-1.55889,0.979755,604049968 604050480 604051000 604054584 604058680 604062776 637567204 637599940 637632644 637632676 637652996 687883552 687899936 
346.79,1.55874,-2.16183,604017344 604017856 604018368 604018376 604021960 604026048 604026056 604030144 604030152 637567590 637587942 637600326 637633030 637633062 637653382 637653414 687888162 687904546 
111.427,-1.3746,-2.1528,604051144 604054728 604058824 604062920 637600260 637600292 637600360 637633096 
110.38,1.37452,0.988907,604018224 604018232 604021808 604021816 604025904 604025912 604030000 604030008 637599878 637599910 637599978 637620230 637620262 637620330 637632714 637653066 
340.206,-1.05327,0.0321276,574914560 579108864 604051464 604054536 637566989 637599752 637599784 637632520 637632525 637632557 637634573 
319.408,1.05368,-3.1097,576618496 580812800 604018840 604021912 637567773 637600138 637600170 637633341 637635357 
937.274,0.431617,-0.666995,577896448 582090752 586285056 590479360 637568409 637568441 637568473 637570457 637570489 637634009 637634041 
1188.92,-0.431679,2.47467,576258048 580452352 584646656 588578816 588840960 637567633 637567665 637569681 637569713 637600433 637633233 637633265 637637233 
113.124,-0.218517,-2.22716,577077248 581271552 585433088 589365248 637568081 637633557 637633589 637635605 
111.729,0.218583,0.914539,575504384 579698688 583892992 588120064 637571449 637632789 637632821 637632853 637634837 637634869 
441.406,-0.729491,-1.15859,577568768 581730304 585924608 590118912 637568333 637570349 637633809 637633841 637633901 637635857 
423.132,0.729687,1.98301,576061440 580288512 584482816 588677120 590774272 637567581 637569597 637633049 637633149 637635097 637645309 
603.931,-2.41604,3.10787,604050064 604050072 604050576 604050584 604054096 604058192 604062288 
811.415,2.41593,-0.0339244,604017160 604017672 604021256 604025352 
418.089,-0.764475,-0.459054,577830912 581992448 586186752 590381056 637568429 637570477 637572557 637633937 637635985 637638125 
440.716,0.764542,2.68253,576323584 580550656 584744960 588939264 637567677 637569725 637571805 637633177 637633277 637635225 
808.082,-1.84324,2.9576,604050064 604050576 604054088 604058184 604062280 637653348 687886624 687903008 
875.329,1.8433,-0.184069,604017440 604017952 604021392 604025488 604029584 637653734 687891234 687907618 
182.815,-1.01533,-2.23674,577011712 581206016 604051648 604054720 637568013 637587880 637620616 637633581 637635597 637635629 
176.326,1.01548,0.904736,575569920 579764224 604018736 604021808 637567261 637587498 637620234 637632829 637634845 637634877 
124.499,-0.492369,3.11316,576520192 580714496 584908800 589103104 637567761 637569809 637569841 637600561 637633361 637633393 637635377 
130.148,0.492354,-0.0284678,575012864 579207168 583401472 587595776 637567001 637569049 637599801 637632601 637634617 637636729 
243.222,-1.02957,-0.24951,577798144 579108864 604051744 604054816 637568397 637588136 637620872 637620904 637632557 637633933 637635981 
241.154,1.0295,2.89212,576356352 580812800 604021896 604021904 637567645 637583658 637587754 637616394 637620490 637620522 637633341 637635229 
787.725,-1.85086,2.1091,604050024 604050536 604054072 604058168 604062264 637632868 687885344 687901728 
622.658,1.85131,-1.03244,604017400 604017912 604021376 604025472 604029568 637567682 637633254 687889954 687902530 687906338 
1039.3,0.736497,-1.82756,577110016 581599232 585531392 589987840 637568189 637570237 637572189 637633561 637633789 637635609 
960.39,-0.736893,1.31399,575471616 579895296 583827456 588283904 637567405 637569453 637571405 637632785 637633005 637634833 
762.614,-0.446641,-1.64667,577306624 581500928 585695232 589889536 637568145 637570193 637570225 637600945 637633745 637633777 
797.885,0.44643,1.49513,575799296 579993600 584187904 588382208 637567385 637567417 637567449 637569433 637569465 637637113 
673.849,-0.202338,3.04519,576552960 580747264 584941568 589103104 637567765 637567797 637567829 637567857 637569813 637569845 
607.332,0.201831,-0.0965148,574980096 579174400 583368704 587595776 637566997 637567029 637567061 637569045 637569077 
587.123,-1.72835,-0.143352,604050208 604050720 604054160 604063008 637620964 637653700 687886656 687891232 687907616 
790.938,1.72854,2.99825,604017296 604017808 604021320 604025416 604030096 637620582 637653318 687886626 687903010 
715.488,-1.88968,-1.37154,604050152 604050664 604054136 604058232 604062328 637649508 687889440 687905824 
628.242,1.88968,1.77009,604017240 604017752 604021296 604025392 604029488 637649126 687884834 687901218 
412.101,-2.29135,-0.225283,604050200 604050208 604050712 604050720 604054160 604058256 604062352 687886656 
393.142,2.2915,2.91636,604017288 604017296 604017800 604017808 604021320 604025416 604029512 
65.8582,-0.0554171,-0.469134,577863680 582057984 586252288 590446592 637601205 637633941 637635989 637636021 637638101 637638133 
64.5049,0.0554465,2.67248,576290816 580485120 584679424 588873728 637600437 637633173 637633205 637633237 637633269 637635221 637635253 
700.326,0.190225,-0.46083,577863680 582057984 586252288 637568405 637568437 637570453 637570485 637572565 
657.985,-0.190373,2.6806,576290816 580485120 584679424 588840960 637567637 637567669 637569685 637569717 637571797 
539.348,0.812953,-2.80993,576618496 581074944 585269248 637567933 637569981 637602749 637633501 
524.078,-0.813185,0.331698,574914560 579371008 583565312 587759616 637567149 637569197 637601965 637632717 637632749 
967.313,-1.38606,-2.71891,604051112 604051120 604054696 604058792 604062888 637608324 637608356 637608424 637612420 637612520 637641160 637641192 637645256 
