det_raw_id,sub_det
583880704,DT
583885824,DT
583886848,DT
583887872,DT
583888896,DT
583902208,DT
583903232,DT
583904256,DT
583905280,DT
583910400,DT
583911424,DT
583912448,DT
583913472,DT
583918592,DT
583919616,DT
583920640,DT
583921664,DT
583934976,DT
583936000,DT
583937024,DT
583938048,DT
583943168,DT
583944192,DT
583945216,DT
583946240,DT
583951360,DT
583952384,DT
583953408,DT
583954432,DT
583967744,DT
583968768,DT
583969792,DT
583970816,DT
583975936,DT
583976960,DT
583977984,DT
583979008,DT
583984128,DT
583985152,DT
583986176,DT
583987200,DT
584098816,DT
584099840,DT
584100864,DT
584101888,DT
584107008,DT
584108032,DT
584109056,DT
584110080,DT
584115200,DT
584116224,DT
584117248,DT
584118272,DT
584131584,DT
584132608,DT
584133632,DT
584134656,DT
584139776,DT
584140800,DT
584141824,DT
584142848,DT
584147968,DT
584148992,DT
584150016,DT
584151040,DT
584164352,DT
584165376,DT
584166400,DT
584167424,DT
584172544,DT
584173568,DT
584174592,DT
584175616,DT
584180736,DT
584181760,DT
584182784,DT
584183808,DT
584197120,DT
584198144,DT
584199168,DT
584200192,DT
584205312,DT
584206336,DT
584207360,DT
584208384,DT
584213504,DT
584214528,DT
584215552,DT
584216576,DT
584229888,DT
584230912,DT
584231936,DT
584232960,DT
584238080,DT
584239104,DT
584240128,DT
584241152,DT
584246272,DT
584247296,DT
584248320,DT
584249344,DT
584360960,DT
584361984,DT
584363008,DT
584364032,DT
584369152,DT
584370176,DT
584371200,DT
584372224,DT
584377344,DT
584378368,DT
584379392,DT
584380416,DT
584393728,DT
584394752,DT
584395776,DT
584396800,DT
584401920,DT
584402944,DT
584403968,DT
584404992,DT
584410112,DT
584411136,DT
584412160,DT
584413184,DT
584426496,DT
584427520,DT
584428544,DT
584429568,DT
584434688,DT
584435712,DT
584436736,DT
584437760,DT
584442880,DT
584443904,DT
584444928,DT
584445952,DT
584459264,DT
584460288,DT
584461312,DT
584462336,DT
584467456,DT
584468480,DT
584469504,DT
584470528,DT
584475648,DT
584476672,DT
584477696,DT
584478720,DT
584492032,DT
584493056,DT
584494080,DT
584495104,DT
